,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
7748,24101206                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,ZINC PLATED [CL8.8]           ,B,4,24104922                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,[SS.304]                      ,P
7750,24101206                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,ZINC PLATED [CL8.8]           ,B,6,182634                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,[SS.316]                      ,P
7754,24101207                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 40MM               ,ZINC PLATED [CL8.8]           ,B,4,24104868                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 40MM               ,[SS.304]                      ,P
7756,24101207                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 40MM               ,ZINC PLATED [CL8.8]           ,B,6,182636                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 40MM               ,[SS.316]                      ,P
7760,24101208                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,ZINC PLATED [CL8.8]           ,B,4,107229                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,[SS.304]                      ,P
7762,24101208                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,ZINC PLATED [CL8.8]           ,B,6,182637                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 50MM               ,[SS.316]                      ,P
7765,24101209                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,ZINC PLATED [CL8.8]           ,B,3,155769                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 2.500""           ",[SS.304]                      ,P
7766,24101209                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,ZINC PLATED [CL8.8]           ,B,4,118026                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,[SS.304]                      ,P
7772,24101210                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 70MM               ,ZINC PLATED [CL8.8]           ,B,4,24104772                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 70MM               ,[SS.304]                      ,P
7779,24101939                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.750""            ",[SS.304]                      ,P,2,24101194                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 20MM                ,ZINC PLATED [CL8.8]           ,B
7781,24101939                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.750""            ",[SS.304]                      ,P,4,24103215                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 20MM                ,[SS.304]                      ,P
7783,24101939                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 0.750""            ",[SS.304]                      ,P,6,182661                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 20MM                ,[SS.316]                      ,P
7785,24101940                 ,HEX.NUT                       ,1/4-20UNC                     ,[SS.304]                      ,P,2,24101213                 ,HEX.NUT                       ,M6-1.00                       ,ZINC PLATED [CL8.8]           ,B
7787,24101940                 ,HEX.NUT                       ,1/4-20UNC                     ,[SS.304]                      ,P,4,24104890                 ,HEX.NUT                       ,M6-1.00                       ,[SS.304]                      ,P
