,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
1537,118621                   ,WASHER;SPRING LOCK            ,"0.750""                        ",[SS.304]                      ,B,4,24104848                 ,WASHER;SPRING LOCK            ,M20                           ,[SS.304]                      ,B
1539,118621                   ,WASHER;SPRING LOCK            ,"0.750""                        ",[SS.304]                      ,B,6,158784                   ,WASHER;SPRING LOCK            ,M20                           ,[SS.316]                      ,B
1553,118796                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.750""            ",[SS.304]                      ,P,2,113497                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 45MM               ,ZINC PLATED [CL8.8]           ,P
1555,118796                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 1.750""            ",[SS.304]                      ,P,4,118797                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 45MM               ,[SS.304]                      ,P
1601,118928                   ,THREADED ROD                  ,7/16-14UNC                    ,[SS.304]                      ,P,2,24105362                 ,THREADED ROD                  ,M10-1.50                      ,ZINC PLATED [CL8.8]           ,P
1607,118933                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.500""            ",[SS.304]                      ,P,2,24101262                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 12MM                ,ZINC PLATED [CL8.8]           ,P
1609,118933                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.500""            ",[SS.304]                      ,P,4,24104781                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 12MM                ,[SS.304]                      ,P
1615,119094                   ,HEX.HD.CAP SCREW              ,"#8-32UNC X 1.000""             ",ZINC PLATED                   ,P,4,215862                   ,HEX.HD.CAP SCREW              ,M4-0.70 X 25MM                ,[SS.304]                      ,B
1625,119168                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 2.000""            ",[SS.304]                      ,P,2,116105                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 50MM               ,ZINC PLATED [CL8.8]           ,P
1627,119168                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 2.000""            ",[SS.304]                      ,P,4,119167                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 50MM               ,[SS.304]                      ,P
1643,119176                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 6.000""            ",[SS.304]                      ,P,2,185547                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 150MM              ,ZINC PLATED [CL8.8]           ,B
1645,119176                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 6.000""            ",[SS.304]                      ,P,4,185546                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 150MM              ,[SS.304]                      ,B
1661,119179                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.750""            ",[SS.304]                      ,P,2,24104497                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 45MM                ,ZINC PLATED [CL8.8]           ,P
1663,119179                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.750""            ",[SS.304]                      ,P,4,24104765                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 45MM                ,[SS.304]                      ,P
1667,119180                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 5.000""            ",[SS.304]                      ,P,2,185545                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 125MM              ,ZINC PLATED [CL8.8]           ,O
1669,119180                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 5.000""            ",[SS.304]                      ,P,4,185544                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 125MM              ,[SS.304]                      ,O
1705,119590                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 3.500""           ",[SS.304]                      ,P,4,119584                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 90MM                ,[SS.304]                      ,B
1733,119795                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.500""             ",[SS.304]                      ,P,2,24104733                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 35MM                ,ZINC PLATED [CL8.8]           ,P
1735,119795                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.500""             ",[SS.304]                      ,P,4,24104821                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 35MM                ,[SS.304]                      ,P
1739,119800                   ,HEX.HD.CAP SCREW              ,"#8-32UNC X 0.500""             ",ZINC PLATED                   ,P,2,315884                   ,HEX.HD.CAP SCREW              ,M4-0.70 X 12MM                ,ZINC PLATED [CL8.8]           ,B
1745,119801                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.500""            ",ZINC PLATED                   ,P,2,134296                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 35MM                ,ZINC PLATED [CL8.8]           ,P
1747,119801                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 1.500""            ",ZINC PLATED                   ,P,4,185589                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 35MM                ,[SS.304]                      ,B
1751,119804                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.250""             ",ZINC PLATED [A574]            ,P,2,24101251                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 30MM                ,ZINC PLATED [CL8.8]           ,P
1753,119804                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.250""             ",ZINC PLATED [A574]            ,P,4,185694                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 30MM                ,[SS.304]                      ,B
1757,120179                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 7.000""            ",ZINC PLATED [A574]            ,P,2,182230                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 180MM              ,ZINC PLATED [CL8.8]           ,P
1763,120471                   ,HEX.HD.CAP SCREW              ,"1/2-20UNF X 2.000""            ",ZINC PLATED [GR.5]            ,B,2,24101070                 ,HEX.HD.CAP SCREW              ,M12-1.25 X 50MM               ,ZINC PLATED [CL8.8]           ,B
1793,121027                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.316]                      ,P,2,24101318                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,ZINC PLATED [CL8.8]           ,B
1795,121027                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.316]                      ,P,4,24104924                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.304]                      ,P
1797,121027                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.316]                      ,P,6,182647                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.316]                      ,P
1799,121028                   ,HEX.NUT                       ,1/2-13UNC                     ,[SS.316]                      ,P,2,24109102                 ,HEX.NUT                       ,M12-1.75                      ,ZINC PLATED [CL8.8]           ,B
1801,121028                   ,HEX.NUT                       ,1/2-13UNC                     ,[SS.316]                      ,P,4,24104841                 ,HEX.NUT                       ,M12-1.75                      ,[SS.304]                      ,P
1803,121028                   ,HEX.NUT                       ,1/2-13UNC                     ,[SS.316]                      ,P,6,182682                   ,HEX.NUT                       ,M12-1.75                      ,[SS.316]                      ,P
1817,121739                   ,THREADED ROD                  ,1/2-20UNF                     ,[SS.304]                      ,P,2,24102478                 ,THREADED ROD                  ,M12-1.25                      ,ZINC PLATED [CL8.8]           ,P
1845,135629                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 8.000""            ",[SS.304]                      ,P,2,24104001                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 200MM              ,ZINC PLATED [CL8.8]           ,P
1847,135629                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 8.000""            ",[SS.304]                      ,P,4,118481                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 200MM              ,[SS.304]                      ,P
1851,135669                   ,WASHER;SPRING LOCK            ,#6                            ,[SS.304]                      ,B,2,24101221                 ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED                   ,P
1853,135669                   ,WASHER;SPRING LOCK            ,#6                            ,[SS.304]                      ,B,4,24104845                 ,WASHER;SPRING LOCK            ,M4                            ,[SS.304]                      ,B
1855,135669                   ,WASHER;SPRING LOCK            ,#6                            ,[SS.304]                      ,B,6,182737                   ,WASHER;SPRING LOCK            ,M4                            ,[SS.316]                      ,P
1857,135671                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 4.500""           ",[SS.304]                      ,P,2,116364                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 120MM               ,ZINC PLATED [CL8.8]           ,P
1859,135671                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 4.500""           ",[SS.304]                      ,P,4,185598                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 120MM               ,[SS.304]                      ,B
1863,135672                   ,HEX.JAM NUT                   ,3/8-16UNC                     ,[SS.304]                      ,P,2,24104527                 ,HEX.JAM NUT                   ,M10-1.50                      ,ZINC PLATED [CL8.8]           ,P
1865,135672                   ,HEX.JAM NUT                   ,3/8-16UNC                     ,[SS.304]                      ,P,4,185638                   ,HEX.JAM NUT                   ,M10-1.50                      ,[SS.304]                      ,B
1867,135672                   ,HEX.JAM NUT                   ,3/8-16UNC                     ,[SS.304]                      ,P,6,182678                   ,HEX.JAM NUT                   ,M10-1.50                      ,[SS.316]                      ,P
1869,135673                   ,HEX.SOC.SHOULDER SCREW        ,"0.625"" X 1.000"" X 1/2-13UNC   ",[SS.304]                      ,P,2,192427                   ,HEX.SOC.SHOULDER SCREW        ,M16 X 25MM X M12-1.75         ,ZINC PLATED                   ,B
1873,139511                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 4.000""           ",ZINC PLATED [GR.5]            ,B,2,24104503                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 100MM              ,ZINC PLATED [CL8.8]           ,B
1875,139511                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 4.000""           ",ZINC PLATED [GR.5]            ,B,4,155884                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 100MM              ,[SS.304]                      ,P
1879,139512                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.750""            ",ZINC PLATED [GR.5]            ,B,2,24104497                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 45MM                ,ZINC PLATED [CL8.8]           ,P
1881,139512                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.750""            ",ZINC PLATED [GR.5]            ,B,4,24104765                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 45MM                ,[SS.304]                      ,P
1885,139513                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.500""            ",ZINC PLATED [GR.5]            ,P,2,24104500                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 90MM                ,ZINC PLATED [CL8.8]           ,P
1887,139513                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 3.500""            ",ZINC PLATED [GR.5]            ,P,4,185597                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 90MM                ,[SS.304]                      ,B
1891,139518                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 2.250""           ",ZINC PLATED [GR.5]            ,B,2,24101209                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,ZINC PLATED [CL8.8]           ,B
1893,139518                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 2.250""           ",ZINC PLATED [GR.5]            ,B,4,118026                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,[SS.304]                      ,P
1897,139519                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",ZINC PLATED [GR.5]            ,B,2,24104509                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,ZINC PLATED [CL8.8]           ,P
1899,139519                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",ZINC PLATED [GR.5]            ,B,4,185557                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,[SS.304]                      ,B
1903,139523                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.375""           ",ZINC PLATED [A574]            ,B,2,24104726                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 10MM                ,ZINC PLATED [CL8.8]           ,P
1905,139523                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.375""           ",ZINC PLATED [A574]            ,B,4,24104886                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 10MM                ,[SS.304]                      ,P
1921,139633                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 3.000""            ",[SS.304]                      ,P,2,185746                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 75MM               ,ZINC PLATED [CL8.8]           ,B
1923,139633                   ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 3.000""            ",[SS.304]                      ,P,4,185745                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 75MM               ,[SS.304]                      ,B
1951,136774                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.000""            ",ZINC PLATED [GR.5]            ,P,2,126871                   ,CARRIAGE BOLT                 ,M12-1.75 X 50MM               ,ZINC PLATED [CL8.8]           ,P
1953,136774                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.000""            ",ZINC PLATED [GR.5]            ,P,4,185512                   ,CARRIAGE BOLT                 ,M12-1.75 X 50MM               ,[SS.304]                      ,B
1955,136774                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.000""            ",ZINC PLATED [GR.5]            ,P,6,183643                   ,CARRIAGE BOLT                 ,M12-1.75 X 50MM               ,[SS.316]                      ,P
1957,136816                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.000""            ",[SS.304]                      ,P,2,24100241                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 25MM                ,ZINC PLATED [CL8.8]           ,B
1959,136816                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.000""            ",[SS.304]                      ,P,4,24104801                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 25MM                ,[SS.304]                      ,P
1961,136816                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 1.000""            ",[SS.304]                      ,P,6,182701                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 25MM                ,[SS.316]                      ,P
1969,136994                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.500""            ",[SS.304]                      ,P,2,24106740                 ,HEX.HD.CAP SCREW              ,M20-2.50 X 60MM               ,ZINC PLATED [CL8.8]           ,P
1971,136994                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 2.500""            ",[SS.304]                      ,P,4,185586                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 60MM               ,[SS.304]                      ,B
1987,137087                   ,HEX.SOC.FH.CAP SCREW          ,"#10-32UNF X 1.000""            ",ZINC PLATED [A574]            ,P,2,24104669                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 25MM                ,ZINC PLATED [CL8.8]           ,B
1989,137087                   ,HEX.SOC.FH.CAP SCREW          ,"#10-32UNF X 1.000""            ",ZINC PLATED [A574]            ,P,4,119592                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 25MM                ,[SS.304]                      ,P
2005,137280                   ,HEX.HD.CAP SCREW              ,"1-8UNC X 8.000""               ",ZINC PLATED [GR.5]            ,P,2,220672                   ,HEX.HD.CAP SCREW              ,M24-3.00 X 200MM              ,ZINC PLATED [CL8.8]           ,B
2017,139148                   ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 8.000""            ",ZINC PLATED [A574]            ,B,2,133842                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 200MM              ,ZINC PLATED [CL8.8]           ,P
2029,123334                   ,HEX.HD.CAP SCREW              ,"#8-32UNC X 1.000""             ",[SS.304]                      ,P,4,215862                   ,HEX.HD.CAP SCREW              ,M4-0.70 X 25MM                ,[SS.304]                      ,B
2033,123337                   ,WASHER;SPRING LOCK            ,#8                            ,[SS.304]                      ,P,2,24101221                 ,WASHER;SPRING LOCK            ,M4                            ,ZINC PLATED                   ,P
2035,123337                   ,WASHER;SPRING LOCK            ,#8                            ,[SS.304]                      ,P,4,24104845                 ,WASHER;SPRING LOCK            ,M4                            ,[SS.304]                      ,B
2037,123337                   ,WASHER;SPRING LOCK            ,#8                            ,[SS.304]                      ,P,6,182737                   ,WASHER;SPRING LOCK            ,M4                            ,[SS.316]                      ,P
2041,123398                   ,HEX.SOC.CAP SCREW             ,"5/16-18UNC X 3.000""           ",ZINC PLATED [A574]            ,P,4,213304                   ,HEX.SOC.CAP SCREW             ,M8-1.25 X 75MM                ,[SS.304]                      ,B
2069,124316                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 1.750""            ",ZINC PLATED [GR.5]            ,P,2,185620                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 45MM               ,ZINC PLATED [CL8.8]           ,B
2071,124316                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 1.750""            ",ZINC PLATED [GR.5]            ,P,4,185619                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 45MM               ,[SS.304]                      ,B
2081,125598                   ,WELD NUT                      ,1/4-20UNC                     ,N-245                         ,P,2,147011                   ,WELD NUT                      ,M6-1.00                       ,PLAIN FINISH #208-300 S-N     ,P
2129,127797                   ,HEX.JAM NUT                   ,3/8-24UNF                     ,ZINC PLATED [GR.5]            ,P,2,24104330                 ,HEX.JAM NUT                   ,M10-1.25                      ,ZINC PLATED [CL8.8]           ,P
2131,127797                   ,HEX.JAM NUT                   ,3/8-24UNF                     ,ZINC PLATED [GR.5]            ,P,4,118847                   ,HEX.JAM NUT                   ,M10-1.25                      ,[SS.304]                      ,P
2133,127797                   ,HEX.JAM NUT                   ,3/8-24UNF                     ,ZINC PLATED [GR.5]            ,P,6,182677                   ,HEX.JAM NUT                   ,M10-1.25                      ,[SS.316]                      ,P
2135,128281                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 1.500""            ",ZINC PLATED [GR.5]            ,P,2,185511                   ,CARRIAGE BOLT                 ,M12-1.75 X 35MM               ,ZINC PLATED [CL8.8]           ,B
2137,128281                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 1.500""            ",ZINC PLATED [GR.5]            ,P,4,185510                   ,CARRIAGE BOLT                 ,M12-1.75 X 35MM               ,[SS.304]                      ,B
2141,128432                   ,SQ.HD.SET SCREW CUP POINT     ,"5/8-11UNC X 1.750""            ",ZINC PLATED                   ,P,2,148112                   ,SQ.HD.SET SCREW CUP POINT     ,M16-2.00 X 45MM               ,ZINC PLATED                   ,P
2183,134006                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.250""            ",[SS.304]                      ,P,2,185502                   ,CARRIAGE BOLT                 ,M10-1.50 X 30MM               ,ZINC PLATED [CL8.8]           ,B
2185,134006                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.250""            ",[SS.304]                      ,P,4,185501                   ,CARRIAGE BOLT                 ,M10-1.50 X 30MM               ,[SS.304]                      ,B
2195,134179                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.000""            ",[SS.304]                      ,B,2,113538                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 75MM               ,ZINC PLATED [CL8.8]           ,B
2197,134179                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 3.000""            ",[SS.304]                      ,B,4,185571                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 75MM               ,[SS.304]                      ,B
2213,134315                   ,HEX.JAM NUT                   ,3/4-16UNF                     ,[SS.304]                      ,B,2,24104608                 ,HEX.JAM NUT                   ,M20-1.50                      ,ZINC PLATED [CL8.8]           ,B
2215,134315                   ,HEX.JAM NUT                   ,3/4-16UNF                     ,[SS.304]                      ,B,4,185641                   ,HEX.JAM NUT                   ,M20-1.50                      ,[SS.304]                      ,B
2253,148022                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.000""            ",[SS.304]                      ,P,4,185705                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 75MM                ,[SS.304]                      ,B
2269,148460                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.000""            ",ZINC PLATED [GR.5]            ,P,2,185618                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 75MM               ,ZINC PLATED [CL8.8]           ,B
2271,148460                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.000""            ",ZINC PLATED [GR.5]            ,P,4,185617                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 75MM               ,[SS.304]                      ,B
2287,148824                   ,FRAMING CHANNEL NUT           ,1/4-20UNC;WITHOUT SPRING      ,AB100-1/4EGC                  ,P,2,216260                   ,FRAMING CHANNEL NUT           ,M6-1.00                       ,3259T33                       ,P
2291,139648                   ,THREADED ROD                  ,3/8-16UNC                     ,[SS.304]                      ,P,2,24105362                 ,THREADED ROD                  ,M10-1.50                      ,ZINC PLATED [CL8.8]           ,P
2299,139656                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 0.375""            ",ZINC PLATED [A574]            ,P,4,24104712                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 10MM                ,[SS.304]                      ,P
2303,139675                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 1.250"" X 3/8-16UNC   ",ZINC PLATED                   ,P,2,108079                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 30MM X M10-1.50         ,ZINC PLATED                   ,P
2305,139675                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 1.250"" X 3/8-16UNC   ",ZINC PLATED                   ,P,4,108080                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 30MM X M10-1.50         ,[SS.304]                      ,P
2315,139695                   ,WELD NUT                      ,5/16-18UNC                    ,N-247                         ,B,2,300114                   ,WELD NUT                      ,M8-1.25                       ,208-301                       ,P
2327,139713                   ,THREADED ROD                  ,5/16-18UNC                    ,ZINC PLATED [GR.5]            ,P,2,24102251                 ,THREADED ROD                  ,M8-1.25                       ,ZINC PLATED [CL8.8]           ,P
2339,140897                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 5.000""           ",ZINC PLATED [GR.5]            ,B,2,185545                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 125MM              ,ZINC PLATED [CL8.8]           ,O
2341,140897                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 5.000""           ",ZINC PLATED [GR.5]            ,B,4,185544                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 125MM              ,[SS.304]                      ,O
2345,141020                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.750""            ",ZINC PLATED [GR.5]            ,B,2,107781                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 70MM               ,ZINC PLATED [CL8.8]           ,B
2347,141020                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.750""            ",ZINC PLATED [GR.5]            ,B,4,118178                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 70MM               ,[SS.304]                      ,P
2399,143542                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.500""            ",[SS.304]                      ,P,2,121128                   ,CARRIAGE BOLT                 ,M10-1.50 X 35MM               ,ZINC PLATED [CL8.8]           ,P
2401,143542                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.500""            ",[SS.304]                      ,P,4,185503                   ,CARRIAGE BOLT                 ,M10-1.50 X 35MM               ,[SS.304]                      ,B
2429,144621                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.500""            ",ZINC PLATED [GR.5]            ,P,2,185626                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 90MM               ,ZINC PLATED [CL8.8]           ,B
2431,144621                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.500""            ",ZINC PLATED [GR.5]            ,P,4,185625                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 90MM               ,[SS.304]                      ,B
2459,145279                   ,HEX.NUT                       ,5/8-18UNF                     ,[SS.304]                      ,P,2,185652                   ,HEX.NUT                       ,M16-1.50                      ,ZINC PLATED [CL8.8]           ,B
2461,145279                   ,HEX.NUT                       ,5/8-18UNF                     ,[SS.304]                      ,P,4,185653                   ,HEX.NUT                       ,M16-1.50                      ,[SS.304]                      ,B
2471,145337                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 6.500""            ",[SS.304]                      ,P,2,186227                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 165MM              ,ZINC PLATED                   ,P
2477,146286                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 2.500""            ",[SS.304]                      ,P,2,107234                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 60MM                ,ZINC PLATED [CL8.8]           ,P
2481,146286                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 2.500""            ",[SS.304]                      ,P,6,182702                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 60MM                ,[SS.316]                      ,P
2483,146368                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 1.000""            ",[SS.304]                      ,P,2,163155                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 25MM                ,ZINC PLATED                   ,B
2489,146380                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.750""             ",[SS.304]                      ,P,2,24104563                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,ZINC PLATED [CL8.8]           ,P
2491,146380                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.750""             ",[SS.304]                      ,P,4,119591                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304]                      ,P
2493,146380                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.750""             ",[SS.304]                      ,P,6,182695                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.316]                      ,P
2495,146383                   ,HEX.HD.CAP SCREW-FULL THD.    ,"5/16-18UNC X 3.000""           ",ZINC PLATED [GR.5]            ,B,2,185633                   ,HEX.HD.CAP SCREW-FULL THD.    ,M8-1.25 X 75MM                ,ZINC PLATED [CL8.8]           ,B
2497,146383                   ,HEX.HD.CAP SCREW-FULL THD.    ,"5/16-18UNC X 3.000""           ",ZINC PLATED [GR.5]            ,B,4,185632                   ,HEX.HD.CAP SCREW-FULL THD.    ,M8-1.25 X 75MM                ,[SS.304]                      ,B
2501,146384                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.000""            ",ZINC PLATED [GR.5]            ,B,2,185624                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 75MM               ,ZINC PLATED [CL8.8]           ,B
2503,146384                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.000""            ",ZINC PLATED [GR.5]            ,B,4,185623                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 75MM               ,[SS.304]                      ,B
2515,146431                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 6.000""            ",[SS.304]                      ,P,4,220924                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 150MM               ,[SS.304]                      ,B
2519,146462                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 2.500""             ",ZINC PLATED [A574]            ,P,2,185891                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 60MM                ,ZINC PLATED [CL8.8]           ,B
2549,147040                   ,HEX.HD.CAP SCREW              ,"7/8-9 UNC X 2.000""            ",ZINC PLATED [GR.5]            ,P,2,200081                   ,HEX.HD.CAP SCREW              ,M22-2.50 X 50MM               ,ZINC PLATED [CL8.8]           ,P
