,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
2305,139675                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 1.250"" X 3/8-16UNC   ",ZINC PLATED,P,4,108080                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 30MM X M10-1.50         ,ZINC PLATED,P,ZINC,ZINC
2399,143542                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.500""            ",[SS.304],P,2,121128                   ,CARRIAGE BOLT                 ,M10-1.50 X 35MM               ,[SS.304],P,SS304,SS304
2401,143542                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.500""            ",[SS.304],P,4,185503                   ,CARRIAGE BOLT                 ,M10-1.50 X 35MM               ,[SS.304],B,SS304,SS304
2459,145279                   ,HEX.NUT                       ,5/8-18UNF                     ,[SS.304],P,2,185652                   ,HEX.NUT                       ,M16-1.50                      ,[SS.304],B,SS304,SS304
2461,145279                   ,HEX.NUT                       ,5/8-18UNF                     ,[SS.304],P,4,185653                   ,HEX.NUT                       ,M16-1.50                      ,[SS.304],B,SS304,SS304
2471,145337                   ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 6.500""            ",[SS.304],P,2,186227                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 165MM              ,[SS.304],P,SS304,SS304
2477,146286                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 2.500""            ",[SS.304],P,2,107234                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 60MM                ,[SS.304],P,SS304,SS304
2481,146286                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 2.500""            ",[SS.304],P,6,182702                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 60MM                ,[SS.304],P,SS304,SS304
2483,146368                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 1.000""            ",[SS.304],P,2,163155                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 25MM                ,[SS.304],B,SS304,SS304
2489,146380                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.750""             ",[SS.304],P,2,24104563                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
2491,146380                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.750""             ",[SS.304],P,4,119591                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
2493,146380                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 0.750""             ",[SS.304],P,6,182695                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
2515,146431                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 6.000""            ",[SS.304],P,4,220924                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 150MM               ,[SS.304],B,SS304,SS304
2561,147289                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.000""            ",[SS.316],P,2,24101195                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 25MM                ,[SS.316],B,SS316,SS316
2563,147289                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.000""            ",[SS.316],P,4,24104927                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 25MM                ,[SS.316],P,SS316,SS316
2565,147289                   ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.000""            ",[SS.316],P,6,182662                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 25MM                ,[SS.316],P,SS316,SS316
2567,147292                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.000""            ",[SS.316],P,2,24104510                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 25MM               ,[SS.316],B,SS316,SS316
2569,147292                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.000""            ",[SS.316],P,4,24104925                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 25MM               ,[SS.316],P,SS316,SS316
2571,147292                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.000""            ",[SS.316],P,6,182642                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 25MM               ,[SS.316],P,SS316,SS316
2573,147293                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 4.000""            ",[SS.316],P,2,24104321                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 100MM              ,[SS.316],B,SS316,SS316
2577,147293                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 4.000""            ",[SS.316],P,6,182640                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 100MM              ,[SS.316],P,SS316,SS316
2585,147419                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.750""             ",[SS.304],P,2,149512                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 45MM                ,[SS.304],B,SS304,SS304
2587,147419                   ,HEX.SOC.CAP SCREW             ,"#6-32UNC X 1.750""             ",[SS.304],P,4,185696                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 45MM                ,[SS.304],B,SS304,SS304
2591,147499                   ,HEX.SOC.CAP SCREW             ,"5/8-11UNC X 4.000""            ",[SS.304],P,2,24107253                 ,HEX.SOC.CAP SCREW             ,M16-2.00 X 100MM              ,[SS.304],P,SS304,SS304
2599,147500                   ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 4.500""            ",[SS.304],P,4,209756                   ,HEX.SOC.CAP SCREW             ,M12-1.75 X 120MM              ,[SS.304],B,SS304,SS304
2671,159699                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 4.000""            ",[SS.304],P,2,211045                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 100MM              ,[SS.304],B,SS304,SS304
2673,159699                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 4.000""            ",[SS.304],P,4,119587                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 100MM              ,[SS.304],P,SS304,SS304
2779,158989                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",[SS.316],P,2,24104509                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,[SS.316],P,SS316,SS316
2781,158989                   ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 0.750""            ",[SS.316],P,4,185557                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 20MM               ,[SS.316],B,SS316,SS316
2803,159065                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.750""            ",[SS.316],P,2,200082                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 45MM               ,[SS.316],P,SS316,SS316
2805,159065                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 1.750""            ",[SS.316],P,4,185584                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 45MM               ,[SS.316],B,SS316,SS316
2881,153160                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 4.000""            ",[SS.304],P,4,170766                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 100MM               ,[SS.304],P,SS304,SS304
2897,153210                   ,CARRIAGE BOLT                 ,"5/16-18UNC X 1.000""           ",[SS.304],P,2,182254                   ,CARRIAGE BOLT                 ,M8-1.25 X 25MM                ,[SS.304],P,SS304,SS304
2899,153210                   ,CARRIAGE BOLT                 ,"5/16-18UNC X 1.000""           ",[SS.304],P,4,185518                   ,CARRIAGE BOLT                 ,M8-1.25 X 25MM                ,[SS.304],B,SS304,SS304
2909,154054                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.750""            ",[SS.304],P,2,24104554                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 45MM                ,[SS.304],B,SS304,SS304
2911,154054                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.750""            ",[SS.304],P,4,185765                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 45MM                ,[SS.304],B,SS304,SS304
2913,154054                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 1.750""            ",[SS.304],P,6,182712                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 45MM                ,[SS.304],P,SS304,SS304
2915,154316                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.500""           ",[SS.304],P,2,300390                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 60MM                ,[SS.304],P,SS304,SS304
2917,154316                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 2.500""           ",[SS.304],P,4,185783                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 60MM                ,[SS.304],B,SS304,SS304
2921,154356                   ,HEX.HD.CAP SCREW              ,"1-8UNC X 2.500""               ",[SS.304],P,2,108682                   ,HEX.HD.CAP SCREW              ,M24-3.00 X 60MM               ,[SS.304],B,SS304,SS304
2927,154357                   ,WASHER;SPRING LOCK            ,"1.000""                        ",[SS.304],B,2,24104704                 ,WASHER;SPRING LOCK            ,M24                           ,[SS.304],P,SS304,SS304
2929,154357                   ,WASHER;SPRING LOCK            ,"1.000""                        ",[SS.304],B,4,185835                   ,WASHER;SPRING LOCK            ,M24                           ,[SS.304],B,SS304,SS304
2963,155142                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 5.500""            ",[SS.304],P,2,118009                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 140MM              ,[SS.304],P,SS304,SS304
2965,155142                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 5.500""            ",[SS.304],P,4,118010                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 140MM              ,[SS.304],P,SS304,SS304
2975,155769                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 2.500""           ",[SS.304],P,2,24101209                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,[SS.304],B,SS304,SS304
2977,155769                   ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 2.500""           ",[SS.304],P,4,118026                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 60MM               ,[SS.304],P,SS304,SS304
3043,164307                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 2.500"" X 3/8-16UNC   ",ZINC PLATED,P,2,210136                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 60MM X M10-1.50         ,ZINC PLATED,B,ZINC,ZINC
3067,165140                   ,HEX.NYLON INSERT LOCKNUT      ,#4-40UNC                      ,ZINC PLATED,B,2,24101494                 ,HEX.NYLON INSERT LOCKNUT      ,M3-0.50                       ,ZINC PLATED,P,ZINC,ZINC
3095,161169                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.250""           ",[SS.304],P,2,24101204                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,[SS.304],P,SS304,SS304
3097,161169                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 2.250""           ",[SS.304],P,4,117587                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 60MM                ,[SS.304],P,SS304,SS304
3179,161643                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.500""            ",ZINC PLATED,P,2,212391                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 90MM               ,ZINC PLATED,B,ZINC,ZINC
3181,161643                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.500""            ",ZINC PLATED,P,4,118419                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 90MM               ,ZINC PLATED,P,ZINC,ZINC
3215,162156                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 1.000""            ",[SS.304],P,2,24104559                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 25MM                ,[SS.304],P,SS304,SS304
3217,162156                   ,HEX.SOC.SET SCREW CUP POINT   ,"1/4-20UNC X 1.000""            ",[SS.304],P,4,24104860                 ,HEX.SOC.SET SCREW CUP POINT   ,M6-1.00 X 25MM                ,[SS.304],P,SS304,SS304
3365,163827                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 3.500""            ",[SS.304],P,2,219708                   ,CARRIAGE BOLT                 ,M10-1.50 X 90MM               ,[SS.304],B,SS304,SS304
3425,166786                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20 UNC X 0.375""           ",ZINC PLATED,B,4,209378                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 10MM                ,ZINC PLATED,B,ZINC,ZINC
3457,170190                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 2.250""            ",[SS.304],P,2,316744                   ,CARRIAGE BOLT                 ,M12-1.75 X 60MM               ,[SS.304],B,SS304,SS304
3475,170302                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 2.500""            ",[SS.316],B,2,164298                   ,CARRIAGE BOLT                 ,M6-1.00 X 60MM                ,[SS.316],B,SS316,SS316
3589,165140                   ,HEX.NYLON INSERT LOCKNUT      ,#4-40UNC                      ,ZINC PLATED,B,4,185660                   ,HEX.NYLON INSERT LOCKNUT      ,M3-0.50                       ,ZINC PLATED,B,ZINC,ZINC
3607,165253                   ,HEX.SOC.CAP SCREW             ,"1/2-13UNC X 3.500""            ",ZINC PLATED,B,4,24105898                 ,HEX.SOC.CAP SCREW             ,M12-1.75 X 90MM               ,ZINC PLATED,P,ZINC,ZINC
3719,166178                   ,HEX.SOC.SHOULDER SCREW        ,"0.500"" X 2.750"" X 3/8-16UNC   ",ZINC PLATED,B,2,168981                   ,HEX.SOC.SHOULDER SCREW        ,M12 X 70MM X M10-1.50         ,ZINC PLATED,B,ZINC,ZINC
3799,51020013                 ,HEX.NUT                       ,3/4-16UNF [GR.8]              ,ZINC PLATED,B,2,24104617                 ,HEX.NUT                       ,M20-1.50                      ,ZINC PLATED,P,ZINC,ZINC
3801,51020013                 ,HEX.NUT                       ,3/4-16UNF [GR.8]              ,ZINC PLATED,B,4,147299                   ,HEX.NUT                       ,M20-1.50                      ,ZINC PLATED,P,ZINC,ZINC
3923,171348                   ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 1.250""            ",ZINC PLATED,B,2,165398                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 30MM                ,ZINC PLATED,B,ZINC,ZINC
3935,171469                   ,HEX.SOC.SHOULDER SCREW        ,"0.375"" X 1.000"" X 5/16-18UNC  ",[SS.304],P,2,135371                   ,HEX.SOC.SHOULDER SCREW        ,M10 X 25MM X M8-1.25          ,[SS.304],P,SS304,SS304
3937,171469                   ,HEX.SOC.SHOULDER SCREW        ,"0.375"" X 1.000"" X 5/16-18UNC  ",[SS.304],P,4,186231                   ,HEX.SOC.SHOULDER SCREW        ,M10 X 25MM X M8-1.25          ,[SS.304],P,SS304,SS304
3953,171737                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 4.750""            ",[SS.316],P,2,185543                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 120MM              ,[SS.316],B,SS316,SS316
3955,171737                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 4.750""            ",[SS.316],P,4,185542                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 120MM              ,[SS.316],B,SS316,SS316
3959,172049                   ,HEX.HD.CAP SCREW              ,"7/8-9UNC X 2.500""             ",[SS.304],P,2,24101734                 ,HEX.HD.CAP SCREW              ,M22-2.50 X 60MM               ,[SS.304],P,SS304,SS304
4261,55030052                 ,HEX.SOC.SHOULDER SCREW        ,"0.750"" X 2.250"" X 5/8-11UNC   ",ZINC PLATED,B,2,210137                   ,HEX.SOC.SHOULDER SCREW        ,M20 X 60MM X M16-2.00         ,ZINC PLATED,B,ZINC,ZINC
4327,54030002                 ,HEX.SOC.FH.CAP SCREW          ,"#10-32UNF X 0.375""            ",[SS.304],B,2,24101754                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 10MM                ,[SS.304],P,SS304,SS304
4585,182141                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",[SS.304],P,2,24101190                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
4587,182141                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",[SS.304],P,4,24104782                 ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
4589,182141                   ,HEX.HD.CAP SCREW              ,"#10-24UNC X 0.750""            ",[SS.304],P,6,182658                   ,HEX.HD.CAP SCREW              ,M5-0.80 X 20MM                ,[SS.304],P,SS304,SS304
4621,182345                   ,HEX.SOC.CAP SCREW             ,"5/8-11UNC X 1.250""            ",[SS.304],P,2,182040                   ,HEX.SOC.CAP SCREW             ,M16-2.00 X 30MM               ,[SS.304],P,SS304,SS304
4623,182345                   ,HEX.SOC.CAP SCREW             ,"5/8-11UNC X 1.250""            ",[SS.304],P,4,149652                   ,HEX.SOC.CAP SCREW             ,M16-2.00 X 30MM               ,[SS.304],P,SS304,SS304
4787,180062                   ,HEX.SOC.SET SCREW CUP POINT   ,"#8-32UNC X 0.250""             ",[SS.304],P,2,185795                   ,HEX.SOC.SET SCREW CUP POINT   ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
4789,180062                   ,HEX.SOC.SET SCREW CUP POINT   ,"#8-32UNC X 0.250""             ",[SS.304],P,4,185794                   ,HEX.SOC.SET SCREW CUP POINT   ,M4-0.70 X 6MM                 ,[SS.304],B,SS304,SS304
4811,180983                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.000""            ",[SS.304],P,2,185500                   ,CARRIAGE BOLT                 ,M10-1.50 X 25MM               ,[SS.304],B,SS304,SS304
4813,180983                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 1.000""            ",[SS.304],P,4,185499                   ,CARRIAGE BOLT                 ,M10-1.50 X 25MM               ,[SS.304],B,SS304,SS304
4829,181129                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 2.750""            ",[SS.304],P,2,185754                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 70MM               ,[SS.304],B,SS304,SS304
4831,181129                   ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 2.750""            ",[SS.304],P,4,185753                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 70MM               ,[SS.304],B,SS304,SS304
4835,181130                   ,HEX.JAM NUT                   ,5/8-11UNC                     ,[SS.304],P,2,24104701                 ,HEX.JAM NUT                   ,M16-2.00                      ,[SS.304],P,SS304,SS304
4837,181130                   ,HEX.JAM NUT                   ,5/8-11UNC                     ,[SS.304],P,4,180061                   ,HEX.JAM NUT                   ,M16-2.00                      ,[SS.304],P,SS304,SS304
4839,181130                   ,HEX.JAM NUT                   ,5/8-11UNC                     ,[SS.304],P,6,182680                   ,HEX.JAM NUT                   ,M16-2.00                      ,[SS.304],P,SS304,SS304
4847,181613                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 2.000""             ",[SS.304],P,2,24101455                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 50MM                ,[SS.304],P,SS304,SS304
4849,181613                   ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 2.000""             ",[SS.304],P,4,184799                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 50MM                ,[SS.304],P,SS304,SS304
4853,181614                   ,HEX.SOC.SET SCREW CUP POINT   ,"#10-32UNF X 0.250""            ",[SS.304],P,2,24104556                 ,HEX.SOC.SET SCREW CUP POINT   ,M5-0.80 X 6MM                 ,[SS.304],P,SS304,SS304
4855,181614                   ,HEX.SOC.SET SCREW CUP POINT   ,"#10-32UNF X 0.250""            ",[SS.304],P,4,24104372                 ,HEX.SOC.SET SCREW CUP POINT   ,M5-0.80 X 6MM                 ,[SS.304],P,SS304,SS304
4859,181615                   ,HEX.NYLON INSERT LOCKNUT      ,#10-32UNF                     ,[SS.304],P,2,24104331                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,[SS.304],B,SS304,SS304
4861,181615                   ,HEX.NYLON INSERT LOCKNUT      ,#10-32UNF                     ,[SS.304],P,4,24104534                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,[SS.304],P,SS304,SS304
4863,181615                   ,HEX.NYLON INSERT LOCKNUT      ,#10-32UNF                     ,[SS.304],P,6,182691                   ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,[SS.304],P,SS304,SS304
4871,181670                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.000""            ",[SS.304],P,2,156872                   ,CARRIAGE BOLT                 ,M6-1.00 X 25MM                ,[SS.304],P,SS304,SS304
4873,181670                   ,CARRIAGE BOLT                 ,"1/4-20UNC X 1.000""            ",[SS.304],P,4,185515                   ,CARRIAGE BOLT                 ,M6-1.00 X 25MM                ,[SS.304],B,SS304,SS304
4925,182099                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.625""           ",[SS.304],P,2,24104727                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 16MM                ,[SS.304],B,SS304,SS304
4927,182099                   ,HEX.SOC.SET SCREW CUP POINT   ,"5/16-18UNC X 0.625""           ",[SS.304],P,4,24104864                 ,HEX.SOC.SET SCREW CUP POINT   ,M8-1.25 X 16MM                ,[SS.304],P,SS304,SS304
4931,182111                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 5.000""            ",[SS.304],P,2,185575                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 125MM              ,[SS.304],B,SS304,SS304
4933,182111                   ,HEX.HD.CAP SCREW              ,"3/4-10UNC X 5.000""            ",[SS.304],P,4,185574                   ,HEX.HD.CAP SCREW              ,M20-2.50 X 125MM              ,[SS.304],B,SS304,SS304
5359,185027                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 2.500""            ",[SS.304],B,2,185507                   ,CARRIAGE BOLT                 ,M10-1.50 X 60MM               ,[SS.304],B,SS304,SS304
5361,185027                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 2.500""            ",[SS.304],B,4,185506                   ,CARRIAGE BOLT                 ,M10-1.50 X 60MM               ,[SS.304],B,SS304,SS304
5365,185036                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 2.000""            ",[SS.304],B,2,185616                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 50MM               ,[SS.304],B,SS304,SS304
5367,185036                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 2.000""            ",[SS.304],B,4,185615                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 50MM               ,[SS.304],B,SS304,SS304
5369,185036                   ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 2.000""            ",[SS.304],B,6,182630                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 50MM               ,[SS.304],P,SS304,SS304
5371,185041                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 3.000""            ",[SS.304],P,2,185769                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 75MM                ,[SS.304],B,SS304,SS304
5373,185041                   ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 3.000""            ",[SS.304],P,4,185768                   ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 75MM                ,[SS.304],B,SS304,SS304
5607,183620                   ,WASHER;FLAT                   ,"0.250""                        ",[SS.316],B,6,182732                   ,WASHER;FLAT                   ,M6                            ,[SS.316],P,SS316,SS316
5621,183747                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.500""            ",[SS.304],P,2,185626                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 90MM               ,[SS.304],B,SS304,SS304
5623,183747                   ,HEX.HD.CAP SCREW-FULL THD.    ,"1/2-13UNC X 3.500""            ",[SS.304],P,4,185625                   ,HEX.HD.CAP SCREW-FULL THD.    ,M12-1.75 X 90MM               ,[SS.304],B,SS304,SS304
5657,184808                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 3.250""            ",[SS.304],B,2,24104615                 ,HEX.SOC.CAP SCREW             ,M10-1.50 X 80MM               ,[SS.304],P,SS304,SS304
5659,184808                   ,HEX.SOC.CAP SCREW             ,"3/8-16UNC X 3.250""            ",[SS.304],B,4,185685                   ,HEX.SOC.CAP SCREW             ,M10-1.50 X 80MM               ,[SS.304],B,SS304,SS304
5663,184809                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 3.750""            ",[SS.304],B,2,56011095GR8              ,HEX.HD.CAP SCREW              ,M10-1.50 X 95MM               ,[SS.304],B,SS304,SS304
5669,184810                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 5.000""           ",[SS.304],P,2,185601                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 125MM               ,[SS.304],B,SS304,SS304
5671,184810                   ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 5.000""           ",[SS.304],P,4,185600                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 125MM               ,[SS.304],B,SS304,SS304
5675,184811                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 0.375""            ",[SS.304],P,2,24104567                 ,HEX.SOC.CAP SCREW             ,M5-0.80 X 10MM                ,[SS.304],P,SS304,SS304
5677,184811                   ,HEX.SOC.CAP SCREW             ,"#10-32UNF X 0.375""            ",[SS.304],P,4,185700                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 10MM                ,[SS.304],B,SS304,SS304
5681,184812                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 4.000""           ",[SS.304],P,2,181518                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 100MM               ,[SS.304],P,SS304,SS304
5683,184812                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 4.000""           ",[SS.304],P,4,185772                   ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 100MM               ,[SS.304],B,SS304,SS304
5687,184837                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 1.500""            ",[SS.304],P,2,185511                   ,CARRIAGE BOLT                 ,M12-1.75 X 35MM               ,[SS.304],B,SS304,SS304
5689,184837                   ,CARRIAGE BOLT                 ,"1/2-13UNC X 1.500""            ",[SS.304],P,4,185510                   ,CARRIAGE BOLT                 ,M12-1.75 X 35MM               ,[SS.304],B,SS304,SS304
5705,184996                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 3.000""            ",[SS.304],B,2,185509                   ,CARRIAGE BOLT                 ,M10-1.50 X 75MM               ,[SS.304],B,SS304,SS304
5707,184996                   ,CARRIAGE BOLT                 ,"3/8-16UNC X 3.000""            ",[SS.304],B,4,185508                   ,CARRIAGE BOLT                 ,M10-1.50 X 75MM               ,[SS.304],B,SS304,SS304
5711,185012                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.000""           ",[SS.304],P,2,24109075                 ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 25MM                ,[SS.304],P,SS304,SS304
5713,185012                   ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 1.000""           ",[SS.304],P,4,24104980                 ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 25MM                ,[SS.304],P,SS304,SS304
5773,185535                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 4.500""            ",[SS.304],B,2,185543                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 120MM              ,[SS.304],B,SS304,SS304
